Image,Max_Temperature,Average_Temperature,Std_Temperature,Thermal_Gradient,Hotspot_Intensity
Timage1.png,224.0,41.53857421875,41.560936458118235,22.208135984009694,197.77998169057065
Timage10.png,255.0,103.44680786132812,52.552913278274914,26.560845759545487,247.15738203957383
Timage11.png,255.0,91.50013732910156,54.6171210080475,26.844464203798726,243.28191167574107
Timage12.png,255.0,102.50801086425781,52.07983722232048,25.45719094753009,246.7147201946472
Timage13.png,253.0,69.56245422363281,48.76259514885965,20.159159687285246,229.01701093560146
Timage14.png,251.0,57.37809753417969,51.44911511329588,21.779112669563112,224.74281437125748
Timage15.png,230.0,52.43902587890625,46.625614986082326,19.713577753863486,205.0249474000601
Timage16.png,249.0,62.07635498046875,53.18138636733828,35.24887234190267,197.80169286577993
Timage17.png,252.0,89.0018310546875,49.03942962829332,32.90085503775376,211.54338719329743
Timage18.png,252.0,83.22071838378906,49.62133565040363,31.125697429626214,210.4993909866017
Timage19.png,251.0,93.12718200683594,63.764971594497695,32.531377902908964,243.0272536687631
Timage2.png,250.0,54.59751892089844,44.65252823912667,24.855686708997712,219.9881710646042
Timage20.png,241.0,105.83428955078125,59.30284606183204,35.80910221093123,235.76599474145488
Timage21.png,213.0,86.76438903808594,55.73030391503289,33.36463250817579,207.4508359308586
Timage22.png,224.0,91.670166015625,56.470515879034735,35.4219438414665,216.96186203028603
Timage23.png,199.0,143.57809448242188,50.302115872125626,27.966478157633187,197.26431635888827
Timage24.png,235.0,53.637176513671875,39.11924721505331,29.360732246878968,184.61447607510598
Timage25.png,212.0,36.59751892089844,36.23982774937275,25.935841177355936,153.20755813953488
Timage26.png,238.0,53.50263977050781,40.25806636059551,29.19724628437677,187.61062215477997
Timage27.png,250.0,65.13249206542969,53.18469511624073,33.69421761979023,199.22680412371133
Timage28.png,249.0,91.3856201171875,48.20925315083763,32.05969482896965,210.32632541133455
Timage29.png,243.0,72.26382446289062,49.59878585237479,31.972071972494174,196.79127819548873
Timage3.png,253.0,62.83064270019531,42.5449622328089,24.42637388383161,220.8993288590604
Timage30.png,218.0,70.19973754882812,36.254942970906704,15.997731599283755,174.18386999699067
Timage31.png,252.0,96.9075927734375,50.26141901520546,22.86620016676657,241.5196992481203
Timage32.png,254.0,113.12823486328125,45.63804232100735,21.19447662231423,243.1967361740707
Timage33.png,254.0,114.48368835449219,46.568462640396305,21.76766381739247,246.08977858659387
Timage34.png,221.0,68.85585021972656,46.90381653587356,21.313707280992084,207.6835290575128
Timage35.png,210.0,56.27864074707031,46.90185603413128,22.26982160141884,198.39209175973437
Timage36.png,212.0,60.30531311035156,46.40705557322008,23.167432339174187,200.12693592468872
Timage37.png,250.0,104.15766906738281,36.68343252595222,20.28412130667778,204.21112781954886
